state_id,product_group_id,material_code,year,month
13,1,4000071,2025,11
13,1,4000071,2025,12
14,1,4000071,2024,1
14,1,4000071,2024,2
14,1,4000071,2024,3
14,1,4000071,2024,4
14,1,4000071,2024,5
14,1,4000071,2024,6
14,1,4000071,2024,7
14,1,4000071,2024,8
14,1,4000071,2024,9
14,1,4000071,2024,10
14,1,4000071,2024,11
14,1,4000071,2024,12
14,1,4000071,2025,1
14,1,4000071,2025,2
14,1,4000071,2025,3
14,1,4000071,2025,4
14,1,4000071,2025,5
14,1,4000071,2025,6
14,1,4000071,2025,7
14,1,4000071,2025,8
14,1,4000071,2025,9
14,1,4000071,2025,10
14,1,4000071,2025,11
14,1,4000071,2025,12
15,1,4000071,2024,1
15,1,4000071,2024,2
15,1,4000071,2024,3
15,1,4000071,2024,4
15,1,4000071,2024,5
15,1,4000071,2024,6
15,1,4000071,2024,7
15,1,4000071,2024,8
15,1,4000071,2024,9
15,1,4000071,2024,10
15,1,4000071,2024,11
15,1,4000071,2024,12
15,1,4000071,2025,1
15,1,4000071,2025,2
15,1,4000071,2025,3
15,1,4000071,2025,4
15,1,4000071,2025,5
15,1,4000071,2025,6
15,1,4000071,2025,7
15,1,4000071,2025,8
15,1,4000071,2025,9
15,1,4000071,2025,10
15,1,4000071,2025,11
15,1,4000071,2025,12
19,1,4000071,2024,1
19,1,4000071,2024,2
19,1,4000071,2024,3
19,1,4000071,2024,4
19,1,4000071,2024,5
19,1,4000071,2024,6
19,1,4000071,2024,7
19,1,4000071,2024,8
19,1,4000071,2024,9
19,1,4000071,2024,10
19,1,4000071,2024,11
19,1,4000071,2024,12
19,1,4000071,2025,1
19,1,4000071,2025,2
19,1,4000071,2025,3
19,1,4000071,2025,4
19,1,4000071,2025,5
19,1,4000071,2025,6
19,1,4000071,2025,7
19,1,4000071,2025,8
19,1,4000071,2025,9
19,1,4000071,2025,10
19,1,4000071,2025,11
19,1,4000071,2025,12
23,1,4000071,2024,1
23,1,4000071,2024,2
23,1,4000071,2024,3
23,1,4000071,2024,4
23,1,4000071,2024,5
23,1,4000071,2024,6
23,1,4000071,2024,7
23,1,4000071,2024,8
23,1,4000071,2024,9
23,1,4000071,2024,10
23,1,4000071,2024,11
23,1,4000071,2024,12
23,1,4000071,2025,1
23,1,4000071,2025,2
23,1,4000071,2025,3
23,1,4000071,2025,4
23,1,4000071,2025,5
23,1,4000071,2025,6
23,1,4000071,2025,7
23,1,4000071,2025,8
23,1,4000071,2025,9
23,1,4000071,2025,10
23,1,4000071,2025,11
23,1,4000071,2025,12
24,1,4000071,2024,1
24,1,4000071,2024,2
24,1,4000071,2024,3
24,1,4000071,2024,4
24,1,4000071,2024,5
24,1,4000071,2024,6
24,1,4000071,2024,7
24,1,4000071,2024,8
24,1,4000071,2024,9
24,1,4000071,2024,10
24,1,4000071,2024,11
24,1,4000071,2024,12
24,1,4000071,2025,1
24,1,4000071,2025,2
24,1,4000071,2025,3
24,1,4000071,2025,4
24,1,4000071,2025,5
24,1,4000071,2025,6
24,1,4000071,2025,7
24,1,4000071,2025,8
24,1,4000071,2025,9
24,1,4000071,2025,10
24,1,4000071,2025,11
24,1,4000071,2025,12
25,1,4000071,2024,1
25,1,4000071,2024,2
25,1,4000071,2024,3
25,1,4000071,2024,4
25,1,4000071,2024,5
25,1,4000071,2024,6
25,1,4000071,2024,7
25,1,4000071,2024,8
25,1,4000071,2024,9
25,1,4000071,2024,10
25,1,4000071,2024,11
25,1,4000071,2024,12
25,1,4000071,2025,1
25,1,4000071,2025,2
25,1,4000071,2025,3
25,1,4000071,2025,4
25,1,4000071,2025,5
25,1,4000071,2025,6
25,1,4000071,2025,7
25,1,4000071,2025,8
25,1,4000071,2025,9
25,1,4000071,2025,10
25,1,4000071,2025,11
25,1,4000071,2025,12
26,1,4000071,2024,1
26,1,4000071,2024,2
26,1,4000071,2024,3
26,1,4000071,2024,4
26,1,4000071,2024,5
26,1,4000071,2024,6
26,1,4000071,2024,7
26,1,4000071,2024,8
26,1,4000071,2024,9
26,1,4000071,2024,10
26,1,4000071,2024,11
26,1,4000071,2024,12
26,1,4000071,2025,1
26,1,4000071,2025,2
26,1,4000071,2025,3
26,1,4000071,2025,4
26,1,4000071,2025,5
26,1,4000071,2025,6
26,1,4000071,2025,7
26,1,4000071,2025,8
26,1,4000071,2025,9
26,1,4000071,2025,10
26,1,4000071,2025,11
26,1,4000071,2025,12
29,1,4000071,2024,1
29,1,4000071,2024,2
29,1,4000071,2024,3
29,1,4000071,2024,4
29,1,4000071,2024,5
29,1,4000071,2024,6
29,1,4000071,2024,7
29,1,4000071,2024,8
29,1,4000071,2024,9
29,1,4000071,2024,10
29,1,4000071,2024,11
29,1,4000071,2024,12
29,1,4000071,2025,1
29,1,4000071,2025,2
29,1,4000071,2025,3
29,1,4000071,2025,4
29,1,4000071,2025,5
29,1,4000071,2025,6
29,1,4000071,2025,7
29,1,4000071,2025,8
29,1,4000071,2025,9
29,1,4000071,2025,10
29,1,4000071,2025,11
29,1,4000071,2025,12
30,1,4000071,2024,1
30,1,4000071,2024,2
30,1,4000071,2024,3
30,1,4000071,2024,4
30,1,4000071,2024,5
30,1,4000071,2024,6
30,1,4000071,2024,7
30,1,4000071,2024,8
30,1,4000071,2024,9
30,1,4000071,2024,10
30,1,4000071,2024,11
30,1,4000071,2024,12
30,1,4000071,2025,1
30,1,4000071,2025,2
30,1,4000071,2025,3
30,1,4000071,2025,4
30,1,4000071,2025,5
30,1,4000071,2025,6
30,1,4000071,2025,7
30,1,4000071,2025,8
30,1,4000071,2025,9
30,1,4000071,2025,10
30,1,4000071,2025,11
30,1,4000071,2025,12
32,1,4000071,2024,1
32,1,4000071,2024,2
32,1,4000071,2024,3
32,1,4000071,2024,4
32,1,4000071,2024,5
32,1,4000071,2024,6
32,1,4000071,2024,7
32,1,4000071,2024,8
32,1,4000071,2024,9
32,1,4000071,2024,10
32,1,4000071,2024,11
32,1,4000071,2024,12
32,1,4000071,2025,1
32,1,4000071,2025,2
32,1,4000071,2025,3
32,1,4000071,2025,4
32,1,4000071,2025,5
32,1,4000071,2025,6
32,1,4000071,2025,7
32,1,4000071,2025,8
32,1,4000071,2025,9
32,1,4000071,2025,10
32,1,4000071,2025,11
